"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"Jonsbo","T8 PLUS","Classic","272","163","282","12.50","443.36","3.2","Glass","2.5mm Al + 0.8mm SGCC Steel","135","-","-","270","140","60","3","-","mITX","ATX","","-","-","-","-","-","-","1 to 2","1","-","-","-","1","1","-","","","","","","25 May 2023",""
"DICE CASES","FLOW","Sandwich","372","161","209","12.52","598.92","","Acrylic / Glass / Steel","2mm Al + 0.9mm steel","74","120 / 140 / 240 / 280","Y","300","","70","3","-","mITX","SFX / SFX-L","2","0 to 4","-","-","-","-","-","0 to 4","0 to 4","-","-","-","-","-","-","","","Link","","Discontinued","05 Jun 2022",""
"Mechanic Master","T12-TG","Sandwich","247","137","370","12.52","338.39","","Glass","1.5-2mm Al","65","120 / 240","Y","320","","56","2","-","mITX","SFX","4","-","-","-","-","-","-","2","-","-","-","-","2","-","-","799.00","110.56","","","Discontinued","",""
"Deng Studio","A12","Classic","295","166","256","12.54","489.70","4.9","Glass","3-8mm 6061-T6 Al","135","-","-","280","140","55","2","-","mITX","SFX","3","-","-","-","-","-","2","1 to 2","-","-","-","-","-","1","-","1,299.00","179.75","","","","25 May 2023",""
"GEEEK","A60 Plus","Sandwich","330","150","254","12.57","495.00","","Acrylic","Acrylic + Al frame","66","120 / 240","Y","305","143","55","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","2 to 3","-","-","-","-","2","-","-","","79.00","","Link","","",""
"Fractal Design","Ridge","Console","355","94.6","375","12.59","335.83","4.3","Steel","Al","70","120 / 140 / 240 / 280","Y","335","151","82","3","-","mITX","SFX / SFX-L","4","-","-","-","-","3","-","0 to 2","0 to 2","-","-","-","2","1","Y","","130.00","","","","23 Nov 2022",""
"CNCAXE","S2cn","Classic","290","170","256","12.62","493.00","","Acrylic","3-4mm Al","138","-","-","281","143","48","2","-","mITX","SFX","2","-","-","-","2","-","2","0 to 1","-","-","-","-","2","-","-","1,105.00","152.91","","","Discontinued","25 May 2023",""
"Cemo / 佑泽企业店","L1","Classic","259","150","325","12.63","388.50","1.5","Al","1.5-2mm Al","125","-","-","250","130","80","4","-","mITX / mATX","Flex ATX","1","0 to 1","-","-","-","2","-","1","-","-","-","-","2","-","-","248.00","34.32","","","","25 May 2023",""
"Custom_Mod","R-Cube 13L rev.1","Classic","227","185","302","12.68","419.95","","Acrylic","1.5mm Al + 1mm Steel","170","120","Optional","275","135","55","2","-","mITX / mDTX","SFX / SFX-L","2","1","-","-","-","-","0 to 1","0 to 1","-","-","-","-","2","-","Y","","169.00","","","Discontinued","15 Sep 2023",""
"九品创客","ESE Hummingbird","Sandwich","340","170","220","12.72","578.00","3.2","Al","3mm Al","85","-","Y","330","","56","2","-","mITX","SFX / ATX","","0 to 1","-","-","-","-","-","-","-","-","-","-","-","-","-","798.00","110.43","","","Discontinued","22 Nov 2022",""
"NCASE","M1 V6.1","Classic","328","160.6","241.7","12.73","526.77","2","Al / Glass","1.5-2mm Al","135","120 / 240 / 2 x 240","-","322","140","60","3","-","mITX / mDTX / mATX (226x244)","SFX / SFX-L","","0 to 2","0 to 1 (Slot)","-","-","-","1","2 to 4","-","-","-","-","2","1","Y","","210.00","Link","Link","Discontinued","28 Mar 2024",""
"Shiny Snake","G200","Classic","280","188","243","12.79","526.40","2.7","Glass / Mesh","Al + SPCC Steel","160","-","-","275","165","50","2","-","mITX / mDTX","SFX / SFX-L / ATX","","0 to 1","-","-","-","-","-","2","-","-","-","-","1","1","-","299.00","41.37","","","","",""
"Mechanic Master","MC14 V2","Sandwich","345","149","249","12.80","514.05","2.6","Al","2mm Al + 1mm SPCC Steel","75","120 / 240","Y","330","","72","3","-","mITX","SFX / SFX-L / ATX","2","-","-","-","-","-","-","2","-","-","-","-","1","1","-","499.00","69.05","","","","04 Jan 2024",""
"Goldenfield/金河田","MATE 2S","Sandwich","338","148","256","12.81","500.24","","Al","Al","55","120 / 240","Y","310","","40","2","-","mITX","SFX","5","0 to 1","-","-","-","-","-","2","-","-","-","-","2","-","-","599.00","82.89","","","Discontinued","",""
"Seven.CME","M1 (12.8L)","Classic","317","165","245","12.81","523.05","","Al","Al","135","-","-","308","140","68","2","-","mITX","SFX / SFX-L","","0 to 2","-","-","-","-","3","0 to 2","-","-","-","-","1","-","-","658.00","91.05","","","Discontinued","25 May 2023",""
"Captain S.","V1.2","Classic","296","166","261","12.82","491.36","","Al / Glass","2-6mm 6061-T6 Al","145","-","-","290","150","60","2","-","mITX","ATX","","0 to 3","-","-","-","-","2","2 to 3","0 to 1","-","-","-","-","-","-","899.00","124.40","","","","25 May 2023",""
"Acat机箱","Acat x Pro (V2)","Sandwich","345","155","240","12.83","534.75","3.5","Al","Al","75","120 / 140 / 240 / 280","Y","338","160","82","2","-","mITX","SFX / SFX-L / ATX","3","0 to 1","-","-","-","-","-","0 to 4","0 to 4","-","-","-","-","1","-","1,199.00","165.91","","","","",""
"Captain S.","V1.1","Classic","342","149","252","12.84","509.58","","Al / Glass","2-6mm 6061-T6 Al","126","-","-","330","131","50","2","-","mITX","ATX","","0 to 1","-","-","-","2","-","2","-","-","-","-","-","-","-","799.00","110.56","","","Discontinued","25 May 2023",""
"Custom_Mod","SXM 12.8L Liquid Cooling","Sandwich","310","137","303","12.87","424.70","2.9","Steel","1mm Steel","68","120 / 240","Y","300","","44","2","-","mITX","SFX / SFX-L","","0 to 1","-","-","-","-","-","2","-","-","-","-","-","-","-","","77.57","","","","15 Sep 2023",""
