"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"LZmod","DC-M1","APU","180","190","55.28","1.89","342.00","1.3","Al","3mm 6061-T6 Al","36.9","-","-","-","-","-","-","-","mITX","DC-ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","318.00","44.00","","","","",""
"ASRock","DeskMini A300","APU","155","80","155","1.92","124.00","","Steel","Steel","46","-","-","-","-","-","-","-","mSTX","External","2","-","-","-","-","-","-","-","-","-","-","-","1","1","Y","-","149.99","Link","","","",""
"ASRock","DeskMini B660","APU","155","80","155","1.92","124.00","","Steel","Steel","46","-","-","-","-","-","-","-","mSTX","External","2","-","-","-","-","-","-","-","-","-","-","-","1","1","Y","-","199.99","","","","14 May 2022",""
"ASRock","DeskMini H470","APU","155","80","155","1.92","124.00","","Steel","Steel","46","-","-","-","-","-","-","-","mSTX","External","2","-","-","-","-","-","-","-","-","-","-","-","1","1","Y","-","194.99","","","","17 Feb 2022",""
"ASRock","DeskMini X300","APU","155","80","155","1.92","124.00","","Steel","Steel","46","-","-","-","-","-","-","-","mSTX","External","2","-","-","-","-","-","-","-","-","-","-","-","1","1","Y","-","169.99","","","","",""
"Custom_Mod","SL1 stl 2.1L rev.1","APU","187","190","60","2.13","355.30","","Steel","1mm Steel","43","-","-","-","-","-","-","-","mITX","DC-ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","42.00","","","Discontinued","15 Sep 2023",""
"LLW's Workshop","V21 Pro","APU","181","60","198","2.15","108.60","","Al","3mm 6061-T6 Al","38","-","-","-","-","-","-","-","mITX","DC-ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","329.00","45.53","","","","",""
"Custom_Mod","SL1 stl 2.1L rev.3","APU","190","190","60","2.17","361.00","0.85","Steel","1mm Steel","43","-","-","-","-","-","-","-","mITX","DC-ATX","1","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","42.19","","","","15 Sep 2023",""
"SGPC","K17","APU","179","48","258","2.22","85.92","0.4","Al","1.5-2mm Al","30","-","-","-","-","-","-","-","mITX","Flex ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","199.00","27.54","","","Discontinued","03 Sep 2021",""
"LZmod","STX-X300-X1","APU","157","157","91","2.24","246.49","1.2","Al","T6 Al","48","-","-","-","-","-","-","-","mSTX","External","2","-","-","-","-","-","-","-","-","-","-","-","1","1","Y","1,199.00","165.91","","","Discontinued","22 Nov 2022",""
"OnLogic","MC500","APU","198.1","192.6","59.3","2.26","381.54","","Steel","Steel","32","-","-","-","-","-","-","-","mITX","DC-ATX","4","-","-","-","-","-","-","-","-","-","-","-","2","-","-","-","65.00","","","","02 Feb 2023",""
"Sirius Case / 天狼星机箱","T40","APU","186","208","61","2.36","386.88","0.83","Al","3mm 6061 Al","44","-","-","-","-","-","-","-","mITX","DC-ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","250.00","34.59","","","Discontinued","",""
"Realan","E-H60","APU","200","200","60","2.40","400.00","0.76","Al","3.5mm Al","34","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","-","-","-","-","-","-","-","-","-","1","-","-","-","-","51.99","","","","",""
"Mini-Box","M350","APU","210","192","62","2.50","403.20","","Steel","Steel","40","-","-","-","-","-","-","-","mITX","DC-ATX","","-","-","0 to 5","-","-","-","-","-","-","-","-","2","-","-","-","39.95","","","","",""
"电竞艾派官方店","S1","APU","200","60","210","2.52","120.00","0.79","Al","2.5mm Al","45","-","-","-","-","-","-","-","mITX","DC-ATX","1","-","-","4","-","-","-","-","-","-","-","2","-","-","-","189.00","26.15","","","Discontinued","21 Jul 2023",""
"RGeek","G60","APU","200","60","210","2.52","120.00","","Al","3.5mm Al","45","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","-","2","-","-","-","-","-","-","-","2","-","-","-","-","45.00","","","","",""
"长沙精五门电脑","联达L65","APU","197","197","65","2.52","388.09","0.86","Al","2.5-3.5mm Al","36","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","-","-","-","-","-","-","-","-","-","2","-","-","-","120.00","16.61","","","","03 Sep 2021",""
"RGeek","L65","APU","197","197","65","2.52","388.09","0.86","Al","2.5-3.5mm Al","36","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","-","-","-","-","-","-","-","-","-","2","-","-","-","-","46.23","","","","",""
"Mini-Box","M200","APU","240","200","54","2.59","480.00","","Al","Al","","-","-","-","-","-","-","-","mITX","DC-ATX","2","-","-","-","-","-","-","-","-","-","-","2","-","-","-","-","25.00","","","","",""
"LZmod","DC-V2","APU","200","190","71","2.70","380.00","","Al","3mm 6061-T6 Al","43","-","-","-","-","-","-","-","mITX","DC-ATX","2","-","-","-","2","-","-","-","-","-","-","-","1","-","-","288.00","39.85","","","","",""
"Custom_Mod","SLM1m HDPlex edition","APU","193","67","210","2.72","129.31","0.7","Al","1.5mm Al","48","-","-","-","-","-","-","-","mITX","DC-ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","99.34","","","","",""
"Chieftec","IX-01B","APU","220","197","63","2.73","433.40","1.5","Steel","0.8mm SECC steel","30","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","1 (Slim)","-","-","-","-","-","-","-","-","-","-","-","-","-","38.05","","","","",""
"Chieftec","IX-03B","APU","220","197","63","2.73","433.40","1.5","Steel","0.8mm SECC steel","30","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","1 (Slim)","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","05 Jun 2022",""
"Silverstone","ML10 (standard)","APU","227","196","63","2.80","444.92","1.4","Steel","Plastic + Steel","48","-","-","-","-","-","-","-","mITX","DC-ATX","","-","-","-","-","-","-","-","-","-","-","-","2","-","-","-","59.99","","","","21 Sep 2023",""
"ZS Cases","ZS-D1","APU","188","81","191","2.91","152.28","0.5","Al","3mm Al","48","-","-","-","-","-","-","-","mITX","DC-ATX","2","-","-","-","-","-","-","-","-","-","-","-","1","-","-","330.00","45.66","","Link","","30 Apr 2022",""
"LLW's Workshop","V26 Pro","APU","186","78","201","2.92","145.08","","Al","3mm 6061-T6 Al","57","-","-","-","-","-","-","-","mITX","DC-ATX","1","-","-","2","-","-","-","-","-","-","-","-","-","-","-","369.00","51.06","","","","",""
"SKTC","A11","APU","211","52","269","2.95","109.72","","Steel","0.8mm SPCC Steel","30","-","-","-","-","-","-","-","mITX","Flex ATX","2","-","-","-","-","-","-","-","-","-","-","1","1","-","Y","99.00","13.70","","","","30 Apr 2022",""
"Streacom","F1C Evo","APU","197","197","77","2.99","388.09","1.6","Al","3.5mm Al","34","-","-","-","-","-","-","-","mITX","DC-ATX","3","-","1 (Slot)","0 to 1","0 to 1","-","-","-","-","-","-","-","-","-","-","-","88.17","","","","",""
"J-HACK","Pure Mk1","APU","193","225","69","3.00","434.25","","Al","Al","48","-","-","-","-","-","-","-","mITX","DC-ATX","","-","-","-","0 to 2","-","-","-","-","-","-","-","-","-","-","-","79.95","","","Discontinued","",""
"LZmod","DC-RLY","APU","261","197","58.28","3.00","514.17","1.6","Al","3mm 6061-T6 Al","36.9","-","Y","?","?","20","-","1","mITX","DC-ATX","3","-","-","4","-","-","-","-","-","-","-","-","-","-","-","383.00","53.00","","","","09 May 2022",""
"Dream Case","D6","APU","190","61","260","3.01","115.90","0.36","Steel","Steel","45","-","-","-","-","-","-","-","mITX","Flex ATX","2","-","-","-","-","-","-","-","-","-","-","-","1","-","Y","68.00","9.41","","","","13 Jul 2022",""
"长沙精五门电脑","联达L80","APU","197","197","80","3.10","388.09","1","Al","2.5-3.5mm Al","52","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","-","-","-","-","-","-","-","-","-","2","-","-","-","135.00","18.68","","","","30 Apr 2022",""
"RGeek","L80","APU","197","197","80","3.10","388.09","","Al","2.5-3.5mm Al","52","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","-","-","-","-","-","-","-","-","-","2","-","-","-","-","133.74","","","","",""
"Realan","E-I3S","APU","236","200","66","3.12","472.00","1.05","Al","3.5mm Al","42","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","-","-","-","-","-","-","-","-","-","2","-","-","-","-","28.00","","","","",""
"J-HACK","Pure Mk2","Console","190","250.5","66","3.14","475.95","","Al","1.6mm Al","47","-","Y","190","70","40","-","2","mITX / mDTX","DC-ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","97.79","","","","19 Jan 2023",""
"Realan","E-H80","APU","200","200","80","3.20","400.00","0.87","Al","3.5mm Al","54","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","-","-","1","-","-","-","-","-","-","1","-","-","-","-","32.99","","","","",""
"Custom_Mod","SL2 stl 3.3L rev.3","APU","185","265","67","3.28","490.25","1","Steel","1mm steel","48","-","-","-","-","-","-","-","mITX","Flex ATX","2","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","79.00","Link","","Discontinued","15 Sep 2023",""
"NFC","Skyreach 4 TINY","APU","239","69","200","3.30","164.91","0.6","Al","1.6-2mm Al","47","-","Optional","-","-","-","-","-","mITX","DC-ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","165.00","","","","",""
"Custom_Mod","SL2 stl 3.4L rev.3","APU","185","273","67","3.38","505.05","1.3","Steel","1mm steel","50","-","-","-","-","-","-","-","mITX","Flex ATX","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","53.89","","","","15 Sep 2023",""
"Goodisory","A01","APU","200","200","85","3.40","400.00","","Al / Glass","4mm Al + 0.8mm SPCC steel","55","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","-","-","-","-","-","-","-","-","-","-","2","-","-","-","49.90","","","","",""
"SKTC","A01","APU","200","200","85","3.40","400.00","","Al / Glass","4mm Al + 0.8mm SPCC steel","55","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","-","-","-","-","-","-","-","-","-","-","2","-","-","159.00","22.00","","","","03 Sep 2021",""
"LLW's Workshop","V32 Pro","APU","188","87","209","3.42","163.56","1","Al","3mm 6061-T6 Al","65","-","-","?","70","20","-","1","mITX","DC-ATX","2","-","-","-","1","2","-","-","-","-","-","-","-","-","-","449.00","62.13","","","","30 Apr 2022",""
"Metalfish","Metal Gear Plus","APU","210","200","85","3.57","420.00","2","Al","3mm Al","40","-","-","-","-","-","-","-","mITX","DC-ATX","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","249.00","34.46","","","","30 Apr 2022",""
"n3rdware","Yocto","Console","210","250","68","3.57","525.00","","Mesh","3D Printed","40","-","Y","185","70","40","-","2","mITX","DC-ATX","","-","-","-","2","-","-","-","-","-","-","-","-","1","-","-","163.50","Link","","","29 Jan 2023",""
"机械核芯","Slim-PRO","Console","186","61","315","3.57","113.46","","Al","3mm 6 series Al","41","-","Y","179","?","40","2","-","mITX","DC-ATX","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","468.00","64.76","","","Discontinued","02 Jan 2022",""
"SGPC","K30 (V1)","APU","205","68","258","3.60","139.40","0.6","Acrylic","1.5-2mm Al","47","-","-","-","-","-","-","-","mITX / mATX (245x205)","Flex ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","159.00","22.00","","","Discontinued","26 Dec 2021",""
"Custom_Mod","MINI 3.6L rev.7","Sandwich","183","107","186","3.64","195.81","","Al","1mm Al + 1mm Steel","40","-","Y","178","?","40","2","-","mITX","DC-ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","89.00","","","Discontinued","",""
"XTIA","XSlim-Mini (S)","APU","188","66","295","3.66","124.08","","Mesh","4mm Al","45","-","-","-","-","-","-","-","mITX","Flex ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","375.00","51.89","","","","23 Jun 2022",""
"Custom_Mod","SL2 stl 3.7L rev.4","APU","183","88","228","3.67","161.04","1.4","Steel","1mm steel","70","-","-","-","-","-","-","-","mITX","Flex ATX","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","63.96","","","","",""
"GEEEK","A1","APU","206","87","208","3.73","179.22","","Acrylic","Acrylic + Al frame","50","-","-","-","-","-","-","-","mITX","DC-ATX","2","-","-","4","-","-","1","-","-","-","-","-","-","-","-","-","29.90","","","Discontinued","",""
"Silverstone","ML10 (elevated)","APU","227","196","84","3.74","444.92","1.4","Steel","Plastic + Steel","63","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","0 to 1 (Slim)","-","-","-","-","0 to 1","0 to 1","-","-","-","2","-","-","-","59.99","","","","",""
"Mini-Box","M300","APU","240","200","78","3.74","480.00","","Al","Al","","-","Y","?","?","20","1","-","mITX","DC-ATX","2","-","-","-","-","-","-","-","-","-","-","2","-","-","-","-","29.00","","","","12 Feb 2022",""
"J-HACK","Stratos Pure","Console","197.5","261.5","72.5","3.74","516.46","","Acrylic","Acrylic","51","-","Y","175","70","40","-","2","mITX","DC-ATX","","-","-","-","4","-","-","0 to 2","-","-","-","-","-","0 to 1","-","-","82.00","","","","08 Aug 2023",""
"GEEEK","A1 V2","APU","213","85","208","3.77","181.05","","Acrylic","Acrylic + Al frame","55","-","-","-","-","-","-","-","mITX","DC-ATX","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","39.90","","","","12 Feb 2022",""
"LLW's Workshop","V36 Pro","Classic","188","88","229","3.79","165.44","","Al","3mm 6061-T6 Al","67","-","-","170","70","40","-","2","mITX","DC-ATX","2","-","-","-","-","2","-","-","-","-","-","-","1","-","-","389.00","53.83","","","","",""
"SKTC","A09","APU","187","89","228","3.79","166.43","1.1","Steel","0.8mm SPCC Steel","63","-","Y","?","?","20","1","-","mITX","Flex ATX","","0 to 1","-","-","-","-","-","-","-","-","-","0 to 2","0 to 2","-","Y","99.00","13.70","","","","23 Aug 2022",""
"Custom_Mod","M2 lm 3.8L","Sandwich","187","108","188","3.80","201.96","","Al","1.5mm Al + 1mm steel","40","-","Y","178","?","40","2","-","mITX","DC-ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","56.00","","","Discontinued","23 Feb 2022",""
"Custom_Mod","SL2 lm 3.8L","APU","191","221","90","3.80","422.11","","Al / Steel","1.5mm Al/1mm steel","65","-","-","-","-","-","-","-","mITX","Flex ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","56.00","Link","","Discontinued","",""
"Realan","E-I5S","APU","236","200","81","3.82","472.00","1.25","Al","3.5mm Al","56","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","-","-","2","-","-","-","-","-","-","2","-","-","-","-","32.99","","","","",""
"Custom_Mod","MINI 3.8L rev.8","Sandwich","185","110","189","3.85","203.50","0.7","Al","1.5mm Al + 1.5mm Steel","43","-","Y","180","?","42","2","-","mITX","DC-ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","102.06","","","","",""
"大C机箱定制","A387","Sandwich","180","100","215","3.87","180.00","","Al","Al","40","-","Y","175","?","40","2","-","mITX","Flex ATX","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","369.00","51.06","","","Discontinued","03 Sep 2021",""
"Geeklab","Nano3S","Sandwich","176","100","220","3.87","176.00","","Acrylic / Al","6 series Al","40","-","Y","175","?","40","2","-","mITX","Flex ATX","2","-","-","1","-","-","-","-","-","-","-","-","-","-","-","527.00","72.93","","","Discontinued","",""
"SGPC","K20","Console","198","48","408","3.88","95.04","0.7","Al","1.5-2mm Al","30","-","Y","180","?","43","2","-","mITX / mATX (226x185)","Flex ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","199.00","27.54","","","","18 Feb 2022",""
"Dream Case","D19H (V2)","APU","190","113","182","3.91","214.70","0.57","Steel","Steel","44","-","-","-","-","-","-","-","mITX","Flex ATX","4","-","-","-","-","-","-","-","-","-","-","-","1","-","Y","78.00","10.79","","","","23 Jun 2022",""
"XWORKS","X32","Open","175","110","205","3.95","192.50","1.2","Open","1.8mm Steel","","-","Y","Open","Open","Open","Open","-","mITX","Flex ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","179.00","","","","18 Feb 2022",""
"Velkase","Velka 3 V2.0","Sandwich","189","96","218","3.96","181.44","1.5","Steel","1-1.2mm Steel + 5mm Al front panel","37","-","Y","175","139","43","2","-","mITX","Flex ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","159.00","Link","Link","","",""
"Captain S.","V7-DC","APU","210","92","206","3.98","193.20","","Al","4-5mm 6061-T6 Al","72","-","-","?","70","20","-","1","mITX","DC-ATX","1","-","-","-","-","2","-","-","-","-","-","-","-","-","-","399.00","55.21","","","","19 Nov 2021",""
"Velkase","Velka 3 V3.0","Sandwich","184","99","219","3.99","182.16","1.4","Steel","1-2mm Steel","37","-","Y","175","148","43","2","-","mITX","Flex ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","159.99","Link","","","09 Oct 2023",""
"n3rdware","Yocto+","Console","210","250","76","3.99","525.00","","Mesh","3D Printed","48","-","Y","185","70","40","-","2","mITX","DC-ATX","1","-","-","-","2","-","-","-","-","-","-","-","-","1","-","-","168.95","Link","","","03 Aug 2023",""
"REVOCCASES","RCC-SMALL1","Console","225","70","254","4.00","157.50","","Al","Al","41","-","Y","?","70","40","-","2","mITX","DC-ATX","3","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","101.15","Link","","Discontinued","22 Nov 2022",""
"SeaDamaged","SE Mini4","Sandwich","181","102","217","4.01","184.62","0.4","Carbon Fibre","Carbon Fibre","40","-","Y","175","126","40","2","-","mITX","Flex ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","875.00","121.08","","","Discontinued","",""
"Velkase","Velka 3 V1.2","Sandwich","185","97","225","4.04","179.45","0.6","Al","1.2mm Al + 1mm Steel","37","-","Y","183","142","43","2","-","mITX","DC-ATX / Flex ATX","","-","-","-","-","0 to 2","-","-","-","-","-","-","-","-","-","-","139.99","Link","Link","Discontinued","",""
"Overtek","Densium APU","APU","197","91","226","4.05","179.27","","Al","1.5mm Al + 1.2-1.5mm Steel + 8mm Wood front panel","67","-","-","?","70","20","-","1","mITX","DC-ATX / Flex ATX","","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","174.99","Link","","","17 May 2023",""
"Custom_Mod","SLM1 4L","Console","192","65","325","4.06","124.80","1","Al","2mm Al","40","-","Y","178","130","44","2","-","mITX","DC-ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","115.67","Link","","","15 Sep 2023",""
"LZmod","LZ-A4 A24-V3","APU","194","88","239","4.08","170.72","","Al","3mm 6061-T6 Al","66.62","-","-","-","-","-","-","-","mITX","Flex ATX","2","-","-","-","-","2","-","-","-","-","-","-","1","-","-","350.00","48.43","","","Discontinued","",""
"Densium","Densium 4","Sandwich","190","98","220","4.10","186.20","","Steel","1.2mm Steel + 8mm Wood front panel","39","-","Y","180","?","43","2","-","mITX","Flex ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","123.99","Link","","Discontinued","23 Jun 2022",""
"ZS Cases","ZS-D2 (A Config)","APU","187","97","230","4.17","181.39","","Al","Al","75","-","-","-","-","-","-","-","mITX","Flex ATX","1","-","-","-","-","-","-","-","-","-","-","-","1","-","-","330.00","45.66","","","","",""
"ZS Cases","ZS-D2 (B Config)","APU","187","97","230","4.17","181.39","","Al","Al","48","-","Y","180","?","20","1","-","mITX","Flex ATX","1","-","-","-","-","-","-","-","-","-","-","-","1","-","-","380.00","52.58","","","","18 Feb 2022",""
"ZS Cases","ZS-D2 (C Config)","APU","187","97","230","4.17","181.39","","Al","Al","48","-","-","-","-","-","-","-","mITX","Flex ATX","1","1","-","-","-","-","-","-","-","-","-","-","1","-","-","345.00","47.74","","","","",""
"ZS Cases","ZS-D2 (D Config)","Classic","187","97","230","4.17","181.39","","Al","Al","75","-","-","182","70","40","-","2","mITX","DC-ATX","1","-","-","-","-","-","-","-","-","-","-","-","1","-","-","330.00","45.66","","","","",""
"SKTC","A09P","APU","206","89","228","4.18","183.34","1.13","Steel","0.8mm SPCC Steel","75","-","Y","160","?","20","1","-","mITX","Flex ATX","","0 to 1","-","-","-","-","-","-","-","-","-","2","2","-","Y","99.00","13.70","","","","12 Apr 2022",""
"SGPC","K29","APU","225","75","248","4.19","168.75","0.87","Acrylic","1.5mm SPCC Steel","56","-","-","-","-","-","-","-","mITX / mATX (245x210)","Flex ATX","","-","-","-","-","-","-","-","-","-","-","-","1","1","-","219.00","30.30","","","","30 Apr 2022",""
"OnLogic","MC600","Console","198","334","64","4.23","661.32","","Steel","Steel","45","-","Y","197","?","40","2","-","mITX","DC-ATX","","0 to 2","-","-","2","-","-","-","-","-","-","2","-","-","-","-","100.00","","","","02 Feb 2023",""
"TBOX","M41","Sandwich","184","105","220","4.25","193.20","","Al","Al","39","-","Y","180","131","40","2","-","mITX","Flex ATX","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","248.00","34.32","","","Discontinued","",""
"柏越科技","M24 (Aluminium)","Sandwich","185","104","221","4.25","192.40","0.6","Acrylic / Al","6061 Al","40","-","Y","180","?","40","2","-","mITX","Flex ATX","1","-","-","-","-","-","-","-","-","-","-","-","1","-","Y","169.00","23.39","","","","03 Sep 2021",""
"SKTC","A07D","APU","184","104","223","4.27","191.36","0.9","Al","2mm Al","65","-","Y","?","?","?","1","-","mITX","Flex ATX","2","-","1 (Slot)","-","-","-","-","-","-","-","-","-","1","-","-","159.00","22.00","","","","30 Apr 2022",""
"SKTC","A07","Sandwich","184","104","223","4.27","191.36","","Al","2mm Al","37","-","Y","170","?","40","2","-","mITX","Flex ATX","2","-","-","-","-","-","-","-","-","-","-","-","1","-","-","189.00","26.15","","","","28 Aug 2022",""
"J-HACK","Pure X","Classic","191","258","87","4.29","492.78","","Al","1.6mm Al","67","-","-","175","70","40","-","2","mITX / mDTX","Flex ATX","","-","-","-","-","2","-","-","-","-","-","-","-","-","-","-","114.95","Link","","","28 Jun 2022",""
"机械库","JXK-L1","APU","185","75","310","4.30","138.75","1","Al","1.5-3mm Al","55","-","-","-","-","-","-","-","mITX","SFX","2","-","-","-","-","-","-","-","-","-","-","-","2","-","-","199.00","27.54","","","","30 Apr 2022",""
"ZS Cases","ZS-A4DC V3","Sandwich","198","114","191","4.31","225.72","1.1","Al","3mm 6061-T6 Al","48","-","Y","182","75","42","-","2","mITX","Flex ATX","1","-","-","-","-","-","2","-","-","-","-","-","1","-","-","599.00","82.89","","Link","","23 Jul 2022",""
"魔神科技电脑机箱城","D600 Mini","APU","200","90","240","4.32","180.00","1.5","Al","Al","66","-","-","-","-","-","-","-","mITX","Flex ATX","2","-","-","-","-","2","-","-","-","-","-","-","-","-","-","280.00","38.75","","","","03 Sep 2021",""
"Captain S.","V8","Classic","188","98","235","4.33","184.24","","Al / Glass","4mm 6061-T6 Al","75","-","-","180","70","20","-","1","mITX","Flex ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","488.00","67.53","","","","28 Sep 2021",""
"Kyle's Studio","Nano S1","Sandwich","182","101","236","4.34","183.82","0.5","Al","4mm 6061 Al","39","-","Y","175","?","40","2","-","mITX","Flex ATX","2","-","-","-","-","2","-","-","-","-","-","-","-","-","-","588.00","81.37","","","","30 Apr 2022",""
"Velkase","Velka 3-RL","APU","198","91","241","4.34","180.18","0.7","Al","1.5mm Al","70","-","-","-","-","-","-","-","mITX","Flex ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","79.99","Link","Link","Discontinued","10 Feb 2022",""
"SGPC","K39 V2","Sandwich","184","108","219","4.35","198.72","0.5","Acrylic / Al","1.5-2mm Al","47","-","Y","180","?","43","2","-","mITX","Flex ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","159.00","22.00","","","Discontinued","",""
"Metalfish","Metal Book","APU","210","76","275","4.39","159.60","2","Al","3mm Al","40","-","-","-","-","-","-","-","mITX / mATX (200x190)","DC-ATX","2","-","-","-","2","-","-","-","-","-","-","-","1","-","-","199.00","27.54","","","","30 Apr 2022",""
"ZS Cases","ZS-A4DC V2","Sandwich","189","114","204","4.40","215.46","","Al","3-4mm 6061-T6 Al","49","-","Y","182","75","42","-","2","mITX","Flex ATX","1","-","-","-","-","2","-","-","-","-","-","-","-","1","-","550.00","76.11","","Link","Discontinued","01 Jul 2023",""
"柏越科技","M24 (Steel)","Sandwich","183","109","222","4.43","199.47","0.7","Acrylic / Steel","Steel","47","-","Y","180","?","40","2","-","mITX","Flex ATX","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","99.00","13.70","","","","",""
"InWin","Chopin","APU","217","84","244","4.45","182.28","2.2","Mesh","4mm Al + SECC steel","43","-","-","-","-","-","-","-","mITX","Custom","2","-","-","-","-","-","-","-","-","-","-","-","2","-","Y","-","97.49","","Link","","06 Jun 2022",""
"InWin","Chopin MAX","APU","217","84","244","4.45","182.28","2.2","Mesh","4mm Al + SECC steel","54","-","-","-","-","-","-","-","mITX","Custom","2","-","-","-","-","-","-","-","-","-","-","-","2","1","Y","-","129.99","","","","31 Oct 2022",""
"InWin","Chopin Pro","APU","217","84","244","4.45","182.28","2.2","Mesh","4mm Al + SECC steel","43","-","-","-","-","-","-","-","mITX","Custom","2","-","-","-","-","-","-","-","-","-","-","-","2","-","Y","-","120.00","","","","18 Nov 2021",""
"NFC","S4 Mini Classic","Console","215","63","330","4.47","135.45","","Al","5mm Al","45","-","Y","203","?","40","2","-","mITX","DC-ATX","2","-","-","-","-","-","-","0 to 1","-","-","-","-","-","-","-","-","250.00","","","Discontinued","",""
"Densium","Densium 4 V2","Sandwich","193","103","225","4.47","198.79","","Steel","1.5mm Al + 1-1.2mm 304 Steel + Wood front panel","39","-","Y","175","?","40","2","-","mITX","Flex ATX","","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","160.00","Link","","Discontinued","29 Sep 2022",""
"Custom_Mod","FX 4.5L rev.3","Sandwich","190","105","225","4.49","199.50","0.8","Acrylic / Al","1.5mm Al + 1.5mm Steel","43","-","Y","180","?","40","2","-","mITX","Flex ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","104.78","","","","15 Sep 2023",""
"LZmod","HS-V1","APU","190","326","73","4.52","619.40","","Al","4mm 6061-T6 Al","49","-","-","-","-","-","-","-","mITX","SFX / SFX-L","3","-","-","-","3","-","-","-","-","-","-","-","1","-","-","389.00","53.83","","","Discontinued","21 Jul 2023",""
"HDPLEX","H1 V3","APU","270","264","63.5","4.53","712.80","3.5","Al","6063T Al","","-","-","-","-","-","-","-","mITX","DC-ATX","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","215.00","","","","",""
"HDPLEX","H1.TODD","APU","270","264","63.5","4.53","712.80","4","Al","6063T Al","","-","-","-","-","-","-","-","mITX","DC-ATX","2","-","1 (Slim)","-","-","-","-","-","-","-","-","-","-","-","-","-","","","","","18 Nov 2021",""
