"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"Dream Case","D1UX","Sandwich","290","125","210","7.61","362.50","1.7","Steel","Steel","57","-","Y","290","160","50","2","-","mITX / mDTX","Flex ATX","","0 to 1","-","-","-","-","-","0 to 1","-","-","-","-","-","-","-","228.00","31.55","","","Discontinued","03 Jan 2022",""
"Theez Designs","Humble","Classic","207","230","160","7.62","476.10","","Al","Al","60","-","-","180","131","40","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","0 to 3","0 to 3","-","-","-","-","-","-","-","120.00","","","","",""
"广州玩家部落","GR-A05","Sandwich","312","135","181","7.62","421.20","","Glass","1.5-2mm Al","60","-","Y","306","?","47.5","2","-","mITX","SFX","2","-","-","-","-","-","-","-","-","-","-","-","1","-","-","189.00","26.15","","","","23 Jun 2022",""
"XTIA","Xproto-Mini","Open","220","160","217","7.64","352.00","","Open","Al","","120 / 240","Y","210","130","55","2","-","mITX","Flex ATX","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","480.00","85.00","","","","11 Jan 2022",""
"REVOCCASES","RCC-MIT1","Classic","188","148","276","7.68","278.24","2","Al","1.5mm 5754 Al","124","-","-","185","129","43","2","-","mITX","SFX / SFX-L","","-","-","-","2","2","-","-","-","-","-","-","-","-","-","-","58.50","Link","","Discontinued","22 Nov 2022",""
"Warhead Design","Papyrus","Sandwich","200","140","275","7.70","280.00","1.6","Al","Al","135","120 / 240","Y","175","?","40","2","-","mITX","SFX","2","-","-","-","2","-","-","2","-","-","-","-","1","-","-","599.00","82.89","","","Discontinued","30 Apr 2022",""
"电竞艾派官方店","X1","Sandwich","315","126","195","7.74","396.90","","Acrylic / Al","2mm Al","55","-","Y","300","130","40","2","-","mITX","SFX","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","189.00","26.15","","","Discontinued","21 Jul 2023",""
"Dream Case","D30 (V2)","Sandwich","305","140","182","7.77","427.00","1.39","Steel","Steel","66","-","Y","302","142","55","2","-","mITX","SFX / SFX-L","2","0 to 1","-","-","-","-","-","-","-","-","-","0 to 2","0 to 2","-","Y","128.00","17.71","","","","26 Dec 2021",""
"魔神科技电脑机箱城","飞优浦 T80 Puls","Sandwich","200","145","268","7.77","290.00","2","Al","Al","68","-","Y","196","135","48","2","-","mITX","SFX / SFX-L","4","-","-","-","-","-","-","1","-","-","-","-","-","-","-","499.00","69.05","","","","19 Oct 2022",""
"SIXGE Case","K3S V2.0 (watercool version)","Sandwich","191","138","295","7.78","263.58","2","Al / Glass","4-15mm T6 Al","67","120","Y","185","?","44","2","-","mITX","SFX / SFX-L","5","0 to 1","-","-","-","-","-","1","-","-","-","-","-","-","-","798.00","110.43","","","Discontinued","10 May 2023",""
