"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"ZZAW","C4","Classic","383","174","310","20.66","666.42","2.2","Glass","1.5-2mm Al","136","120 / 240","-","360","141","80","4","-","mITX / mDTX / mATX","SFX / SFX-L / ATX","2","2","-","-","-","-","2","5","-","-","-","-","1","1","Y","338.00","46.77","","","","25 May 2023",""
"ALmordor","Seiya 180 MATX","Classic","356","195","300","20.83","694.20","5.65","Al","2mm Al + 0.8-1m SPCC Steel","165","120 / 240","-","350","170","80","4","-","mITX / mATX","SFX / SFX-L / ATX","4","2","-","-","-","-","-","5 to 7","0 to 2","-","-","-","1","1","Y","649.00","129.99","","","","25 May 2023",""
"Jonsbo","U3","Classic","270","208","372","20.89","561.60","2.5","Al","1.5-2mm Al","175","120","-","260","180","80","4","-","mITX / mATX","ATX","","1 to 2","-","-","-","-","-","1","-","-","-","-","2","-","Y","359.00","76.00","","","","25 May 2023",""
"Metalfish","T80","Classic","380","173","320","21.04","657.40","3","Glass","1.5mm Al","150","120 / 240","-","360","155","80","4","-","mITX / mATX","SFX / SFX-L / ATX","1","0 to 1","-","-","-","-","1","3 to 5","-","-","-","-","1","1","Y","279.00","38.61","","","","25 May 2023",""
"Cougar","DUST 2","Sandwich","403","175","299","21.09","705.25","6.05","Al","Al","70","120 / 140 / 240 / 280","Y","330","","60","2","-","mITX","ATX","2","0 to 1","-","-","-","-","-","0 to 2","0 to 2","-","-","-","1","1","Y","-","165.00","","","","",""
"SAMA","IS","Classic","396","168","318","21.16","665.28","4.2","Glass","0.7-0.9mm SPCC Steel","138","120 / 240 / 2 x 240","Optional","336","143","60","6","-","mITX","SFX / SFX-L","3","0 to 2","-","-","-","1","-","4 to 6","-","-","-","-","2","-","Y","229.00","31.69","","","","25 May 2023",""
"ABKONCORE","C350M","Classic","315","185","365","21.27","582.75","","Acrylic","Steel","157","120 / 140 / 240 / 280","-","310","162","80","4","-","mITX / mATX","ATX","4","2","-","-","-","-","-","1 to 5","0 to 4","-","-","2","1","-","Y","-","","","","","25 May 2023",""
"Silverstone","GD04","Console","323","440","150","21.32","1421.20","5.54","Steel","8mm Al + 0.8mm SECC Steel","120","-","-","279","124","100","5","-","mITX / mDTX / mATX","ATX","","1 to 2","1","-","-","2 to 3","-","2 to 3","-","-","-","-","2","-","Y","-","","","","","05 Jun 2022",""
"酷冷魔神","X99 Pro","Classic","375","190","300","21.38","712.50","","Acrylic / Steel","1.2-1.5mm Steel","160","120 / 240","-","350","165","80","4","-","mITX / mATX","SFX / SFX-L / ATX","4","1","-","-","-","-","-","5","-","-","-","-","1","1","-","199.00","27.54","","","","",""
"Warhead Design","XL3","NAS","350","215","285","21.45","752.50","3.5","Steel","SGCC Steel","135","120 / 240","Y","330","160","68","2","1","mITX / mATX","ATX","2","1 to 6","-","-","-","-","2","1 to 3","0 to 2","-","-","-","2","1","Y","499.00","69.05","","","","",""
"Riotoro","CR280","Classic","330.2","203.2","320","21.47","670.97","3.3","Steel","Steel","135","120 / 140 / 240","-","290","140","40","2","-","mITX","ATX","2","1","-","-","-","-","-","4 to 5","0 to 1","-","-","-","2","-","Y","-","","","","Discontinued","25 May 2023",""
"Jonsbo","RM2","Classic","302","209","341","21.52","631.18","2.6","Al","1.5-1.8mm Al","95","-","-","290","","120","6","-","mITX / mATX / ATX","ATX","3","1","-","-","-","-","-","1","-","-","-","-","2","-","Y","299.00","65.00","","","","25 May 2023",""
"Streacom","DA6 XL","Open","215","215","466","21.54","462.25","2.5","Open","6063 Al + 304 Steel","","120 / 140 / 240 / 280","Y","358","145","87","3","-","mITX","SFX / SFX-L / ATX","","9","-","Variable","Variable","Variable","Variable","Variable","Variable","-","-","-","","1","-","-","159.43","","","","",""
"Silverstone","GD05","Console","325","440","151","21.59","1430.00","4.7","Steel","Al + 0.8mm SECC Steel","120","-","-","279","125","100","5","-","mITX / mDTX / mATX","ATX","","1 to 2","1","-","-","2 to 3","-","2 to 3","-","-","-","-","2","-","Y","-","","","","","25 May 2023",""
"Mechanic Master","C34","Classic","342","185","342","21.64","632.70","3.5","Glass","2mm Al + 1mm Steel","162","120 / 140 / 240 / 280","-","335","167","140","9","-","mITX / mATX / ATX / E-ATX (315x315)","SFX / ATX","4","0 to 2","-","-","-","-","-","0 to 7","0 to 4","-","-","-","1","1","-","849.00","117.48","","","","01 Jun 2023",""
"Silverstone","DS380","NAS","360","211","285","21.65","759.60","","Steel","Steel","57","-","-","279","111","40","2","-","mITX / mDTX","SFX / SFX-L","","0 to 8","-","-","-","-","-","3","-","-","-","-","2","-","Y","-","187.00","","","","06 Sep 2021",""
"ZZAW","C3","Classic","410","170","313","21.82","697.00","2.3","Glass","1.5mm Al","137","120 / 240 / 360","Optional","405","152","90","4","-","mITX / mDTX / mATX","SFX / SFX-L / ATX","4","1","-","-","-","-","1","8","-","-","-","-","1","-","-","299.00","41.37","","","","02 Jan 2022",""
"InWin","A1","Classic","357","224","273","21.83","799.68","6","Glass","SECC Steel","160","120","-","320","165","55","2","-","mITX","ATX","2","-","-","-","-","-","-","4","-","-","-","-","2","-","Y","-","199.00","","","","25 May 2023",""
"InWin","A1 Plus","Classic","357","224","273","21.83","799.68","6","Glass","SECC Steel","160","120","-","320","165","55","2","-","mITX","ATX","2","-","-","-","-","-","-","4","-","-","-","-","2","-","Y","-","199.00","","","","25 May 2023",""
"InWin","A1 Prime","Classic","357","224","273","21.83","799.68","6.14","Glass","SECC Steel","160","120","-","320","165","55","2","-","mITX","ATX","2","-","-","-","-","-","-","4","-","-","-","-","2","-","Y","-","249.00","","","","15 May 2023",""
"SAMA","IM01","Classic","391","185","303","21.92","723.35","","Glass / Steel","SPCC Steel","155","120 / 240","Optional","335","160","80","6","-","mITX / mATX","SFX / ATX","3","3","-","-","-","1","-","6","-","-","-","-","2","-","Y","299.00","41.37","","","","25 May 2023",""
"MONTECH","SKY ONE MINI","Classic","355","196","315","21.92","695.80","4.9","Glass","0.8mm SGCC Steel","160","120","-","315","165","80","4","-","mITX / mATX","SFX / ATX","","0 to 1","-","-","-","-","-","1 to 4","0 to 3","-","-","1","2","-","Y","-","69.99","","","","25 May 2023",""
"Warhead Design","Treasure Pro","NAS","292","328.5","228.5","21.92","959.22","","Steel","Al + Steel","80","-","-","280","70","120","","6","mITX / mATX / ATX","Flex ATX / 1U / SFX / SFX-L","","8","-","-","-","-","-","2","-","-","-","-","1","-","-","1,399.00","193.59","","","","10 May 2023",""
"Sapphire","M01","Classic","392","185","303","21.97","725.20","5.3","Glass / Steel","SPCC Steel","155","120 / 240","-","335","160","80","4","-","mITX / mATX","SFX / ATX","","0 to 3","-","-","-","-","1","0 to 6","-","-","-","-","2","-","Y","499.00","69.05","","","","25 May 2023",""
"Jonsbo","VR1","Classic","238","239","386.5","21.98","568.82","5.7","Glass","Al","190","-","-","320","195","40","2","-","mITX","ATX","2","1","-","-","-","-","-","2","-","-","-","-","2","-","Y","-","","","","","25 May 2023",""
"ZZAW","C1","Classic","313","165","428","22.10","516.45","2.9","Glass","2mm Al","140","120 / 240","-","359","145","93","4","-","mITX / mATX","ATX","2","1","-","-","-","-","1","2","-","-","-","-","2","-","-","448.00","61.99","","","","25 May 2023",""
"Raijintek","Metis Evo","Classic","290","293","263","22.35","849.70","4.35","Glass","2mm Al + 0.8mm SPCC Steel","135","120 / 140","-","280","140","40","2","-","mITX","SFX / ATX","2","2","-","-","-","-","3","1 to 2","0 to 1","-","-","-","1","1","-","-","149.90","","","","25 May 2023",""
"Silverstone","GD06","Console","340","440","150","22.44","1496.00","5.6","Steel","Al + 0.8mm SECC Steel","120","-","-","279","125","100","5","-","mITX / mDTX / mATX","ATX","","3 to 4","1","-","-","2 to 3","-","2 to 3","-","-","-","-","2","-","Y","-","","","","","25 May 2023",""
"Silverstone","SG02-F","Classic","393","270","212","22.50","1061.10","4.1","Steel","SECC Steel","82","-","-","368","113","80","4","-","mITX / mDTX / mATX","ATX","","2 to 3","2","-","-","3","-","-","-","-","-","-","3","-","Y","-","115.00","","","","",""
"Silverstone","SG11","Classic","393","270","212","22.50","1061.10","4.45","Steel","Plastic + Steel","82","-","-","368","113","80","4","-","mITX / mDTX / mATX","ATX","","0 to 3","1","-","-","2","-","1","-","-","-","-","2","-","Y","-","","","","","05 Jun 2022",""
"Phanteks","Evolv Shift","Sandwich","274","170","484","22.54","465.80","6.6","Glass","Al + Steel","82","2 x 120","Y","350","","40","2","-","mITX","SFX / SFX-L","3","1","-","-","-","-","-","0 to 3","0 to 3","-","-","-","2","-","-","-","109.99","","","Discontinued","02 Jan 2022",""
"Phanteks","Evolv Shift Air","Sandwich","274","170","484","22.54","465.80","5","Mesh","Al + Steel","82","2 x 120","Y","350","","40","2","-","mITX","SFX / SFX-L","3","1","-","-","-","-","-","0 to 3","0 to 3","-","-","-","2","-","-","-","109.99","","","Discontinued","02 Jan 2022",""
"Thermaltake","Core V1","Classic","316","260","276","22.68","821.60","","Acrylic","SPCC Steel","140","120 / 140","-","285","145","46.5","2","-","mITX","ATX","2","2","-","-","-","2","-","0 to 1","0 to 1","-","0 to 1","-","2","-","Y","-","50.99","","","","25 May 2023",""
"Silverstone","CS351","NAS","411","265","209","22.76","1089.15","5","Steel","Plastic + Steel","82","-","-","368","","80","4","-","mITX / mDTX / mATX","ATX","","2 to 7","-","3","-","3","-","-","-","-","-","-","2","1","Y","-","","","","","25 Jan 2024",""
"Phanteks","Evolv Shift 2","Sandwich","274","170","490","22.82","465.80","6.8","Glass","Al + Steel","85","120","Y","335","150","59","2","-","mITX","SFX / SFX-L","4","1","-","-","-","-","-","0 to 3","0 to 3","-","-","-","2","-","-","-","109.99","","","","",""
"Phanteks","Evolv Shift 2 Air","Sandwich","274","170","490","22.82","465.80","4.9","Mesh","Al + Steel","85","120","Y","335","150","59","2","-","mITX","SFX / SFX-L","4","1","-","-","-","-","-","0 to 3","0 to 3","-","-","-","2","-","-","-","109.99","","","","",""
"Thermaltake","Suppressor F1","Classic","319","260","276","22.89","829.40","3.2","Acrylic","SPCC Steel","140","120 / 140","-","285","145","40","2","-","mITX","ATX","2","2","-","-","-","2","-","0 to 1","0 to 1","-","-","-","2","-","Y","-","69.99","","","","25 May 2023",""
"Silverstone","SG09","Classic","354","220","295","22.97","778.80","5.3","Steel","Plastic + Steel","165","-","-","337","170","80","4","-","mITX / mDTX / mATX","ATX","4","2","1 (Slim)","-","-","1 to 3","0 to 3","1 to 2","0 to 1","-","-","-","2","-","Y","-","","","","","25 May 2023",""
"Silverstone","SG10","Classic","354","220","295","22.97","778.80","5.8","Steel","Al + Steel","165","-","-","337","170","80","4","-","mITX / mDTX / mATX","ATX","4","2","1 (Slim)","-","-","1 to 3","0 to 3","1 to 2","0 to 1","-","-","-","2","-","Y","-","","","","","25 May 2023",""
"Silverstone","SG12","Classic","412","266","210","23.01","1095.92","5","Steel","Al + Steel","82","-","-","368","113","80","4","-","mITX / mDTX / mATX","ATX","","0 to 3","1","-","-","2","-","1","-","-","-","-","1","1","Y","-","","","","","05 Jun 2022",""
"Sliger","Cerberus X","Classic","380","172","358","23.40","653.60","4.9","Acrylic / Al","2mm 5052 Al + 0.8mm Steel","149","120 / 140 / 240 / 280","-","330","153","160","8","-","mITX / mATX / ATX / SSI-EEB","SFX / SFX-L / ATX","2","-","-","-","-","-","-","3","2","-","-","-","2","-","-","-","265.00","Link","Link","","25 May 2023",""
