Brand,Cooler,Type,Length (mm),Width (mm),Height (mm),Weight (g),Heatsink Material,Heatpipes,TDP (W),RAM Clearance (mm),Fans,Fan Size (mm),Max Fan Speed (RPM),Max Air Flow (CFM),Max Static Pressure (mmH2O),Max Noise (dB(A)),AMD FM1 / FM2(+) / AM2(+) / AM3(+),AMD AM4 / AM5,Intel 775,Intel 115X / 1200,Intel 1366,Intel 1700,Intel 2011 / 2066,Remarks
Jonsbo,HP400S,Top Down,92,103,40,380,Al,4,140,No limit,1,92x92x15,3000,48.30,3.24,33.00,-,Y,-,Y,-,Y,-,
Jonsbo,HP400S NEW,Top Down,103,92,40,350,Al,4,140,No limit,1,92x92x15,2800,38.18,?,34.00,-,Y,-,Y,-,Y,-,
Scythe,Kozuti,Top Down,110,103,40,250,Al,3,95,No limit,1,80x80x10,3300,24.82,1.99,32.50,Y,-,Y,Y,Y,?,-,
Raijintek,Zelos,Top Down,94,93,44,190,Al,3,?,No limit,1,92x92x15,1400,41.00,3.50,20.00,Y,-,-,Y,-,?,-,
Alpenfohn,Silvretta,Top Down,100,93,45,250,Al,3,95,No limit,1,92x92x15,2800,47.10,?,37.60,Y,Y,Y,Y,-,Y,-,
AMD,Wraith Stealth (no plastic shroud mod),Top Down,92,92,45,?,Al,-,65,No limit,1,92x92x25,?,?,?,?,-,Y,-,-,-,-,-,
be quiet!,PURE ROCK LP,Top Down,92,92,45,358,Al,3,100,No limit,1,92x92x15,2500,?,?,30.60,-,Y,-,Y,-,Y,-,
ID-Cooling,IS-40X,Top Down,93,101,45,310,Al,4,100,No limit,1,92x92x15,2500,44.30,3.24,33.00,Y,Y,-,Y,-,?,-,
ID-Cooling,IS-40X V2,Top Down,94,101,45,400,Al,4,100,No limit,1,92x92x15,2800,46.00,3.28,35.20,-,Y,-,Y,-,Y,-,
ID-Cooling,IS-VC45,Top Down,94,92,45,330,Al,-,130,No limit,1,92x92x15,2500,44.30,3.24,33.00,-,-,-,Y,-,?,Y,
Prolimatech,Samuel 17,Top Down,121.2,120,45,410,Al,6,?,No limit,1,-,-,-,-,-,Y,-,Y,Y,Y,?,-,No fan included. Compatible with 120mm fan
Jonsbo,HX4170D Black,Top Down,95,95,45.3,290,Al,4,170,No limit,1,92x92x12.5,3300,38.85,2.71,28.40,-,Y,-,Y,-,Y,-,
Jonsbo,HX4170D White,Top Down,95,95,45.3,290,Al,4,170,No limit,1,92x92x12.5,3300,38.85,2.71,28.40,-,Y,-,Y,-,Y,-,
Alpenfohn,Blackridge (Low profile mode) (120mm fan),Top Down,140,120,47,438,Al,6,95,18,1,120x120x15,-,-,-,-,-,Y,-,Y,-,Y,-,Use any 120mm slim 15mm fan
Alpenfohn,Blackridge (Low profile mode) (92mm fan),Top Down,140,120,47,438,Al,6,95,33,1,92x92x15,2800,47.10,?,37.60,-,Y,-,Y,-,Y,-,Black ridge compatibility mockups
Cryorig,C7,Top Down,97,97,47,357,Al,4,100,No limit,1,92x92x15,2500,40.50,2.80,30.00,Y,Y,-,Y,-,?,-,
Cryorig,C7 RGB,Top Down,97,97,47,357,Al,4,100,No limit,1,92x92x15,2500,40.50,2.80,30.00,Y,Y,-,Y,-,?,-,
Cryorig,C7 Cu,Top Down,97,97,47,675,Copper,4,115,No limit,1,92x92x15,2500,40.50,2.80,30.00,Y,Y,-,Y,-,?,-,
Cryorig,C7 G,Top Down,97,97,47,673.5,Copper,4,125,No limit,1,92x92x15,2500,40.50,2.80,30.00,Y,Y,-,Y,-,?,-,
